Target,V,U,B,R,I,J,H,K,L,M,N,eV,eU,eB,eR,eI,eJ,eH,eK,eL,eM,eN,ObsDate
V* BL Vel,11.7,7.19,7.58,--,--,--,--,6.41,6.27,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BM And,12.4,12.9,10.64,--,--,4.5,3.63,3.31,3.04,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BM Cha,14.6,--,--,--,--,4.21,3.05,2.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BN Mon,12.7,11.65,10.1,--,--,3.61,3.72,3.49,3.3,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BO Ori,13.6,6.61,6.4,--,--,4.67,4.35,4.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BR Tel,9.5,--,--,--,--,4.79,3.84,3.61,3.43,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BU Cen,12.4,--,--,--,--,5.52,4.57,4.38,4.22,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BX Mon,9.5,--,--,--,--,4.78,3.87,3.6,3.49,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
CD-27 363,10.51,--,--,--,--,6.67,5.93,5.72,5.26,5.16,4.76,--,--,--,--,--,--,--,--,--,--,--,unknown
CD-33 10685,10.29,--,--,--,--,4.7,3.84,3.64,3.47,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
CD-35 10525,11.4,--,--,--,--,5.22,4.28,4.08,3.9,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
CD-37 7613,9.87,--,--,--,--,3.92,2.97,2.77,2.6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
CD-42 11721,11,--,--,--,--,11.92,11.71,11.46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
CD-44 11324,9.38,4.7,4.64,3.64,3.35,3.12,2.99,2.84,2.78,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
CD-60 3621,7.18,6.29,4.85,2.61,1.96,1.48,--,0.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CE Cas,10.63,9.85,10.71,--,--,--,10.27,9.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CE Ori,15.2,-0.36,0.3,0.49,0.6,0.8,0.85,0.88,0.86,0.87,0.73,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CF Cas,10.8,4.44,4.85,4.95,5.02,5.14,5.15,5.18,--,5.07,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CF Per,10.5,5.29,5.52,--,--,5.67,5.65,5.82,--,5.67,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CG Mon,11.2,5.69,5.58,4.43,4.1,3.87,--,3.55,3.42,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CG Vul,13.5,7.36,5.81,3.38,2.67,2.14,1.41,1.25,1.14,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CH Sct,11.2,11.32,10.94,--,--,5.28,4.4,4.1,3.81,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CI Cyg,9.9,6.58,6.48,--,--,4.86,4.53,4.48,--,4.38,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CI Tau,13.8,5.37,5.57,--,--,5.81,--,5.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CL Mon,11,12.9,10.81,--,--,4.14,3.19,2.86,2.55,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CM Del,13.4,6.57,6.08,4.55,4.12,3.83,3.39,3.25,3.21,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CM Dra,12.87,8.31,7.36,5.58,5.09,4.64,4.17,4.06,4.01,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CO Ori,10.3,3.1,4.02,3.9,3.88,3.84,3.69,3.36,2.83,2.46,1.7,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CS Vel,11.24,9.58,8.52,--,--,--,--,4.08,3.89,3.76,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CT Lac,10.6,4.43,4.22,2.88,2.41,2.14,1.72,1.68,1.64,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CT Ori,9.14,--,--,--,--,5.69,4.81,4.62,4.45,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CU Vul,15,--,--,--,--,14.3,13.6,13.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CV Mon,9.9,5.9,5.22,3.53,3.04,2.69,--,2.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CW Leo,10.96,10.1,10.33,--,--,8.9,8.65,8.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CW Mon,11.9,6.24,6.38,--,--,6.66,6.64,6.65,6.63,6.11,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CW Tau,12.36,--,--,--,--,8.02,7.37,7.17,7.2,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CX Tau,14.5,6.84,6.44,4.99,4.6,4.31,3.88,3.84,3.7,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CY Cyg,11,9.04,7.08,4,2.73,2.1,1.28,1.05,0.88,1.19,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CY Lyr,13.2,--,--,--,--,5.78,4.84,4.65,4.5,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CY Ori,12.3,5.04,5,4.38,4.22,--,--,3.89,3.94,3.84,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CY Tau,13.4,10.96,8.66,--,--,--,--,1.63,1.41,1.65,1.44,--,--,--,--,--,--,--,--,--,--,--,unknown
V* CZ Tau,15.7,--,--,--,--,4.13,3.16,2.88,2.67,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DD Tau,14.1,4.51,5.34,--,--,6.06,6.11,6.16,6.19,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DE Mon,13.6,3,2.62,1.53,1.22,--,--,0.52,0.51,0.39,0.24,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DE Tau,13.8,5.92,4.86,2.92,2.37,1.92,1.33,1.22,1.12,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DF Cyg,10.8,3.96,3.9,3,2.72,2.51,--,2.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DG CrA,13.4,2.61,3.22,3.4,3.52,3.67,3.74,3.79,3.77,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DG Tau,10.5,--,--,--,--,7.83,7.16,6.86,5.72,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
2MASS J04270370+2606067,10.5,7.71,6,2.68,1.17,0.52,-0.43,-0.64,-0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DH Tau,13.1,2.88,2.78,2.51,2.43,2.5,2.43,2.38,2.37,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DI Cep,11.95,--,--,--,--,4.14,3.04,2.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DI Tau,13.6,--,--,--,--,5.76,4.87,4.69,4.53,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DK Mon,13.1,--,11.58,--,--,-0.1,-0.7,-1.04,-1.37,-1.45,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DK Tau,11.9,--,--,--,--,4.44,3.45,3.18,2.94,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DL Lac,12.5,--,--,--,--,5.08,4.12,3.92,3.74,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DL Ori,12,3.33,3.13,2.55,2.39,2.3,2.17,2.12,2.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DL Tau,13.4,7.45,5.58,2.76,1.72,1.12,0.27,0.1,-0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DM Tau,14,4.76,4.7,4.36,4.28,4.23,4.16,4.12,4.04,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DN Tau,11.5,8.37,7.03,--,--,0.75,-0.15,-0.4,-0.57,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DO Tau,12.3,4.64,4.96,5.01,5.06,5.15,--,5.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DP Tau,13.7,7.85,8.31,--,--,--,7.26,7.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DQ Tau,12,8.45,6.63,3.92,3.03,2.52,--,1.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DR Ser,10.4,11.66,10.34,6.02,4.19,3.04,2.15,1.77,1.19,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DR Tau,10.5,9.36,7.53,--,--,2.33,1.5,1.29,1.12,1.41,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DS Tau,11.9,--,--,--,--,--,4.34,4.07,3.8,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DY Cen,12,11.09,9.28,--,--,--,--,3.75,3.55,3.45,3.27,--,--,--,--,--,--,--,--,--,--,--,unknown
V* DY Ori,11.29,--,--,--,--,4.12,3.14,2.87,2.66,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EH Cep,12.1,4.22,3.3,1.16,0.47,-0.1,-0.7,-0.84,-1,--,-1.2,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EI Peg,9.2,--,--,--,--,5.13,4.23,4.03,3.87,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EM Cyg,11.9,--,--,--,--,6.1,5.23,4.76,4.32,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EN TrA,8.7,4.01,4.52,4.73,4.87,5,5.06,5.07,5.07,4.91,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EO Per,11.2,--,--,--,--,4.68,3.74,3.55,3.83,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EP Lyr,9.96,13.11,10.82,6.78,5.26,4.29,--,2.99,2.9,3.25,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EP Vul,11,--,--,--,--,11.13,10.97,10.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EQ Cas,9.3,4.29,3.17,1.15,0.54,0.06,-0.52,-0.63,-0.73,-0.63,-0.76,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EU Ser,14.2,7.67,7.52,6.36,--,5.78,5.47,5.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EV Lac,8.28,6.28,6.29,5.09,4.59,4.27,--,3.91,3.75,3.64,3.56,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EW And,10.8,--,--,--,--,5.58,5.49,5.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EX Hya,9.6,5.08,4.94,4.68,4.61,4.55,--,4.48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EZ Ori,12,3.26,3.14,2.86,2.78,2.78,2.53,2.66,2.6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* EZ Peg,9.57,--,--,--,--,14.1,13.2,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FG Sge,9.45,12.32,9.96,5.86,4.29,3.37,--,2.13,1.87,2.28,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FI Hya,10.2,9.27,9.35,8.24,7.85,7.58,7.26,7.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FI Vir,13.82,6.23,6.68,6.02,5.75,--,--,5.33,5.24,5.04,5.45,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FK Pup,12,7.79,7.66,6.44,6.05,5.77,5.41,5.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FM Tau,13.8,7.26,7.04,5.89,5.4,--,--,4.74,4.5,4.46,4.15,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FN Sgr,9,9.2,7.25,4.48,3.5,2.82,--,1.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FN Tau,14.7,--,--,--,--,12.24,11.93,11.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FO Aql,13.6,5.86,5.23,3.68,3.18,2.86,--,2.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FP Tau,15.02,7.09,7.78,--,--,--,7.67,7.56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FP Vel,12,7.84,8.25,--,--,--,8.14,8.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FR Per,12.2,13.85,11.23,7,5.49,4.5,--,3.21,3.08,3.48,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FR Sct,11.6,9.6,9.67,--,--,7.93,7.61,7.56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FS Tau,14.1,--,--,--,--,5.14,4.32,4.03,3.64,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FU Ori,9.6,9.09,8.99,7.73,7.35,7.05,6.67,6.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FW Pup,12.2,6.95,7.6,7.11,6.95,6.79,6.74,6.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FX Tau,14.4,--,--,--,--,5.13,4.32,3.96,3.54,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* FY Car,11,6.1,6.76,6.14,5.95,5.82,5.75,5.64,5.53,5.68,4.83,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GG Tau,13.4,8.68,9.31,--,--,8.55,8.37,8.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GH Gem,12.4,8.67,9.33,--,--,9.07,9.01,9.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GH Tau,13.2,5.5,5.48,--,--,3.74,3.29,3.28,3.14,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GI Lup,10.4,8.56,9.15,8.56,8.33,8.27,8.26,8.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GI Tau,13.7,3.06,3.45,3.64,3.75,3.78,3.82,3.86,3.88,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GK Car,12.5,8.05,8.67,8.17,8.02,7.96,7.94,7.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GK Ori,9.5,7.9,8.48,--,--,7.63,7.59,7.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GK Tau,13,9.02,9.58,--,--,8.77,8.71,8.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GL Cep,12.9,9.1,9.63,--,--,8.98,8.92,8.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GM Aur,13.1,8.97,9.49,--,--,8.4,8.28,8.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GO Pup,12.6,9.76,10.25,--,--,9.43,9.34,9.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GO Tau,14.4,15.53,12.87,--,--,3.7,--,2.24,1.9,2.07,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GS Ori,12.7,9.33,9.87,--,--,9.11,9.02,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GT Peg,11.66,10.19,10.65,--,--,9.88,9.82,9.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GU Nor,10.08,10.26,10.77,--,--,10.02,9.97,9.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GU Sgr,11.33,9.54,10,--,--,8.61,8.57,8.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GX Ori,14,10.53,10.97,--,--,10.09,10.04,10.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* GY Sge,9.84,9.71,10.2,--,--,9.49,9.4,9.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100012,6.59,6.63,7,--,--,5.66,5.62,5.41,5.19,5.06,4.95,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100029,3.85,9.6,10.09,--,--,9.17,9.11,9.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100099,8.08,6.71,7.16,--,--,5.58,5.46,5.31,5.15,4.93,5.17,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100198,6.4,--,--,--,--,2.88,1.88,1.62,1.42,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100261,5.14,13.4,10.78,6.58,4.94,3.89,--,2.62,2.32,2.86,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100262,5.14,8.74,9.28,8.66,8.48,8.34,8.33,8.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100307,6.16,13.41,10.8,6.42,4.85,3.85,--,2.56,2.29,2.69,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100336,10.2,5.58,4.47,1.04,-0.88,-1.38,-2.1,-2.54,-3.34,-3.7,-4.71,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100393,5.11,12.7,10.16,--,--,3.35,2.45,2.05,1.78,1.97,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100407,3.54,6.87,7.16,6.44,6.22,6.09,--,5.89,5.79,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100546,6.3,8.98,9.52,--,--,8.8,8.71,8.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100764,8.79,--,7.53,--,--,--,--,--,--,--,-2.03,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100841,3.14,12.75,10.2,--,--,3.78,2.87,2.55,2.22,2.87,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100920,4.3,8.31,8.83,8.21,8.02,7.83,7.85,7.87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 100971,9.27,12.84,10.31,6.13,4.6,3.62,--,2.35,2.07,2.7,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101007,7.02,9.12,9.77,--,--,9.18,8.92,9.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101008,9.15,8.86,9.5,--,--,8.45,8.3,8.15,7.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101065,8.03,7.87,8.65,8.29,8.2,8.4,8.34,8.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101131,7.16,9.64,10.26,--,--,8.84,8.57,8.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101153,5.36,7.01,6.97,5.79,5.33,5.23,5.13,4.86,4.68,4.4,4.37,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101177,6.44,7.85,8.39,7.7,7.53,7.66,7.56,7.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101205,6.47,9.14,9.69,--,--,9.02,8.95,8.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101227,8.39,9.66,10.22,--,--,9.76,9.66,9.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101298,8.07,9.47,10.06,--,--,8.76,8.46,8.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1013,4.8,8.27,8.83,--,--,8.13,8.03,7.99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101370,6.19,13.86,11.57,--,--,2.76,--,1.39,1.39,1.31,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1014,5.12,8.8,9.37,--,--,8.76,8.7,8.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101414,11.3,9.14,9.68,--,--,9.17,9,8.99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101431,4.7,8.62,9.13,--,--,8.64,8.48,8.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10144,0.46,9.02,9.57,--,--,8.71,8.6,8.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101452,8.2,5.43,5.54,4.79,4.47,--,--,4.05,3.95,3.8,3.86,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101501,5.34,12.37,10.09,--,--,3.08,2.12,1.68,1.38,1.56,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101545,6.38,9.6,10.19,--,--,8.62,8.52,8.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101551,9,8.92,9.47,8.84,8.64,8.54,8.46,8.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101584,7.01,13.22,10.55,--,--,3.14,--,1.33,0.54,-0.08,-1.74,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101602,8.3,8.28,8.16,6.72,6.14,5.95,5.79,5.53,5.38,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101606,5.75,7.46,7.6,--,--,5.86,5.65,5.39,5.14,5.3,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101712,7.85,12.81,10.41,--,--,4.01,3.09,2.78,2.53,3.23,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 101947,5.03,13.32,10.81,6.67,5.21,4.33,3.32,3.02,2.79,3.11,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10205,4.94,8.86,9.61,--,--,--,8.47,8.18,8.11,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10221,5.59,10.37,10.31,--,--,10.16,10.11,10.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102212,4.04,4.17,4.12,4.05,4.04,4,3.97,3.96,3.95,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102224,3.72,6.93,6.17,--,--,3.54,--,2.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102249,3.65,5.95,6.56,5.93,5.74,5.6,5.47,5.44,5.36,5.27,4.72,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102365,4.88,13.07,10.61,6.09,4.29,3.28,--,1.95,1.71,2.16,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102567,9,--,--,--,--,12.14,11.77,11.59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102620,5.11,9.59,10,--,--,--,8.6,8.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102647,2.14,7.83,8.44,--,--,6.94,6.8,6.81,6.5,--,4.82,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102681,7,7.63,7.92,6.56,6.05,--,--,5.46,5.24,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102851,8.77,--,--,--,--,4.52,3.6,3.38,3.22,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102870,3.6,--,--,--,--,3.89,3.09,2.57,1.96,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 102964,4.46,--,--,--,--,6.77,6.35,6.08,5.83,5.95,3.89,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 103036,7.97,6.06,5.97,5.71,5.67,5.78,5.76,5.71,5.68,5.64,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 103052,9.7,17.9,15.07,8.32,5.54,3.93,--,1.93,1.36,1.11,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10307,4.96,--,--,--,--,4.97,4.04,3.37,2.67,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 103095,6.45,3.61,4.11,4.28,4.41,4.53,4.56,4.6,4.6,4.64,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 103192,4.28,4.14,4.25,4.29,4.34,4.38,4.38,4.39,4.39,4.38,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1032,5.77,6.6,6.6,--,--,--,6.23,6.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 103287,2.44,8.67,8.95,--,--,--,7.77,7.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 103500,6.49,8.42,8,6.52,5.84,--,--,4.95,4.76,4.74,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 103513,7.6,--,12.94,--,--,3.82,2.28,1.06,-0.06,-1.1,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 103516,5.96,7.73,7.8,6.31,5.7,--,--,4.99,4.84,4.73,4.58,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 103681,6.2,7.82,8.37,7.34,6.94,6.76,6.58,6.53,6.47,6.38,6.52,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1038,4.46,8.4,8.8,7.41,6.86,6.52,6.23,6.24,5.98,5.91,5.65,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10380,4.44,8.23,8.85,--,--,7.53,7.38,7.27,7.23,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10390,5.64,5.19,5.2,4.34,4.07,3.87,3.63,3.58,3.56,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104138,6.66,--,--,--,--,3.93,3.11,2.71,2.28,2.17,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104211,9.82,9.99,10.21,--,--,8.78,8.51,8.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104216,6.17,8.02,8.07,--,--,--,7.67,7.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104226,7.84,14.96,12.37,--,--,3.32,--,2.03,1.72,1.8,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104237,6.6,6.67,6.45,--,--,4.63,4.33,4.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104304,5.55,7.98,7.96,6.84,6.49,6.23,5.91,5.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104340,8.14,--,--,--,--,4.32,3.34,3.11,2.94,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104731,5.15,16.8,14.21,--,--,1.94,0.84,0.41,1.51,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10476,5.24,7.91,8.29,--,--,6.36,6.24,6.22,6.19,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10486,6.32,10.37,10.62,--,--,9.09,8.82,8.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104901A,7.38,5.65,5.51,4.42,4.12,3.97,3.69,3.6,3.53,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104901B,7.63,9.33,9.59,--,--,--,--,7.03,6.92,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10494,7.31,3.91,4.54,4.69,4.82,4.94,4.98,5.04,--,5.03,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104959,8.4,3.63,3.56,3.36,3.32,3.3,--,3.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 104979,4.12,--,--,--,--,4.24,3.27,3.03,2.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 10516,4.06,4.62,4.62,3.67,3.37,3.34,3.07,2.98,2.96,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 105262,7.08,--,--,--,--,2.95,2.02,1.7,1.39,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 105382,4.47,4.94,4.94,4.03,3.76,3.58,3.35,3.32,3.33,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 105390,9.25,8.97,8.98,7.39,6.76,--,--,5.91,5.81,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
